"Name";"Length";"Directory"
"Microsoft.CodeAnalysis.CSharp.dll";"16903616";"C:\Program Files\PowerShell\7"
"Microsoft.CodeAnalysis.dll";"7058352";"C:\Program Files\PowerShell\7"
"Microsoft.DiaSymReader.Native.amd64.dll";"1813896";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.Commands.Utility.dll";"1632144";"C:\Program Files\PowerShell\7"
"mscordaccore_amd64_amd64_6.0.822.36306.dll";"1321864";"C:\Program Files\PowerShell\7"
"mscordaccore.dll";"1321856";"C:\Program Files\PowerShell\7"
"mscordbi.dll";"1269376";"C:\Program Files\PowerShell\7"
"Microsoft.VisualBasic.Core.dll";"1245336";"C:\Program Files\PowerShell\7"
"Markdig.Signed.dll";"1152944";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.Commands.Management.dll";"1134480";"C:\Program Files\PowerShell\7"
"Microsoft.CSharp.dll";"1045144";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.GraphicalHost.dll";"995240";"C:\Program Files\PowerShell\7"
"Microsoft.ApplicationInsights.dll";"930232";"C:\Program Files\PowerShell\7"
"manifest.spdx.json";"845153";"C:\Program Files\PowerShell\7\_manifest\spdx_2.2"
"Microsoft.PowerShell.ConsoleHost.dll";"597904";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.Commands.Utility.xml";"593019";"C:\Program Files\PowerShell\7"
"Microsoft.WSMan.Management.dll";"555944";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.GraphicalHost.xml";"542476";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.Commands.Management.xml";"527240";"C:\Program Files\PowerShell\7"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"513664";"C:\Program Files\PowerShell\7\ru"
"msquic.dll";"499584";"C:\Program Files\PowerShell\7"
"Microsoft.Management.Infrastructure.CimCmdlets.dll";"492944";"C:\Program Files\PowerShell\7"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"424560";"C:\Program Files\PowerShell\7\ja"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"391808";"C:\Program Files\PowerShell\7\pl"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"391272";"C:\Program Files\PowerShell\7\ko"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"388224";"C:\Program Files\PowerShell\7\de"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"388224";"C:\Program Files\PowerShell\7\fr"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"385664";"C:\Program Files\PowerShell\7\it"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"379520";"C:\Program Files\PowerShell\7\es"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"373888";"C:\Program Files\PowerShell\7\pt-BR"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"370816";"C:\Program Files\PowerShell\7\tr"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"364656";"C:\Program Files\PowerShell\7\cs"
"Microsoft.PowerShell.Security.dll";"341416";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.Commands.Diagnostics.dll";"336304";"C:\Program Files\PowerShell\7"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"330368";"C:\Program Files\PowerShell\7\zh-Hant"
"Microsoft.CodeAnalysis.CSharp.resources.dll";"330368";"C:\Program Files\PowerShell\7\zh-Hans"
"Microsoft.Management.Infrastructure.CimCmdlets.xml";"304292";"C:\Program Files\PowerShell\7"
"Microsoft.Management.Infrastructure.dll";"301496";"C:\Program Files\PowerShell\7"
"Microsoft.PackageManagement.dll";"290896";"C:\Program Files\PowerShell\7\Modules\PackageManagement\coreclr\netstandard2.0"
"Microsoft.PowerShell.PSReadLine2.dll";"281992";"C:\Program Files\PowerShell\7\Modules\PSReadLine"
"Microsoft.PackageManagement.NuGetProvider.dll";"266112";"C:\Program Files\PowerShell\7\Modules\PackageManagement\coreclr\netstandard2.0"
"Microsoft.Management.Infrastructure.Native.dll";"260528";"C:\Program Files\PowerShell\7"
"Microsoft.VisualBasic.Forms.dll";"243328";"C:\Program Files\PowerShell\7"
"miutils.dll";"236192";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.CoreCLR.Eventing.dll";"227728";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.ConsoleHost.xml";"219689";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.PackageManagement.dll";"173960";"C:\Program Files\PowerShell\7\Modules\PackageManagement\coreclr\netstandard2.0"
"Microsoft.WSMan.Management.xml";"173138";"C:\Program Files\PowerShell\7"
"mscorrc.dll";"147096";"C:\Program Files\PowerShell\7"
"Microsoft.WSMan.Runtime.dll";"146832";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.SDK.dll";"142736";"C:\Program Files\PowerShell\7"
"mi.dll";"127136";"C:\Program Files\PowerShell\7"
"Microsoft.PowerShell.Security.xml";"125441";"C:\Program Files\PowerShell\7"
"Maml.rld";"115835";"C:\Program Files\PowerShell\7\Schemas\PSMaml"
